"Aalborg","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Denmark","Romance Standard Time"
"Abbotsford, BC","(GMT-08:00) Pacific Time (US & Canada); Tijuana","Canada","Pacific Standard Time"
"Aberdeen","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Abidjan","(GMT) Greenwich Mean Time","Cote d'Ivoire","Greenwich Standard Time"
"Abu Dhabi","(GMT+04:00) Abu Dhabi, Muscat","United Arab Emirates","Arabian Standard Time"
"Abuja","(GMT+01:00) West Central Africa","Nigeria","W. Central Africa Standard Time"
"Acapulco","(GMT-06:00) Guadalajara, Mexico City, Monterrey","Mexico","Mexico Standard Time"
"Accra","(GMT) Greenwich Mean Time","Ghana","Greenwich Standard Time"
"Adak, AK","(GMT-10:00) Adak","United States","Hawaii-Aleutian Standard Time"
"Addis Ababa","(GMT+03:00) Nairobi","Ethiopia","E. Africa Standard Time"
"Adelaide","(GMT+09:30) Adelaide","Australia","Cen. Australia Standard Time"
"Aden","(GMT+03:00) Kuwait, Riyadh","Yemen","Arab Standard Time"
"Agra","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Ahmedabad","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Akita","(GMT+09:00) Osaka, Sapporo, Tokyo","Japan","Tokyo Standard Time"
"Aklavik, NT","(GMT-07:00) Mountain Time (US & Canada)","Canada","Mountain Standard Time"
"Akron, OH","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Akumal","(GMT-06:00) Guadalajara, Mexico City, Monterrey","Mexico","Mexico Standard Time"
"Al Ahsa","(GMT+03:00) Kuwait, Riyadh","Saudi Arabia","Arab Standard Time"
"Al Ain","(GMT+04:00) Abu Dhabi, Muscat","United Arab Emirates","Arabian Standard Time"
"Al Bayda'","(GMT+03:00) Kuwait, Riyadh","Yemen","Arab Standard Time"
"Al Hudaydah","(GMT+03:00) Kuwait, Riyadh","Yemen","Arab Standard Time"
"Al Jahra","(GMT+03:00) Kuwait, Riyadh","Kuwait","Arab Standard Time"
"Alacati","(GMT+02:00) Turkey","Turkey","Turkey Standard Time"
"Alajuela","(GMT-06:00) Central America","Costa Rica","Central America Standard Time"
"Albany, NY","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Albena","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Bulgaria","FLE Standard Time"
"Albuquerque, NM","(GMT-07:00) Mountain Time (US & Canada)","United States","Mountain Standard Time"
"Albury","(GMT+10:00) Canberra, Melbourne, Sydney","Australia","AUS Eastern Standard Time"
"Alert, NU","(GMT-05:00) Eastern Time (US & Canada)","Canada","Eastern Standard Time"
"Alexandria","(GMT+02:00) Cairo","Egypt","Egypt Standard Time"
"Algiers","(GMT+01:00) West Central Africa","Algeria","W. Central Africa Standard Time"
"Alicante","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Alice Springs","(GMT+09:30) Darwin","Australia","AUS Central Standard Time"
"Almaty","(GMT+06:00) Central Asia","Kazakhstan","Central Asia Standard Time"
"Almeria","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Alofi","(GMT-11:00) Midway Island","Niue","Midway Island Standard Time"
"Alupka","(GMT+04:00) Crimea","Russia","Crimean Standard Time"
"Ambato","(GMT-05:00) Bogota, Lima, Quito","Ecuador","SA Pacific Standard Time"
"Ambon","(GMT+09:00) Osaka, Sapporo, Tokyo","Indonesia","Tokyo Standard Time"
"Amersfoort","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Netherlands","W. Europe Standard Time"
"Amherst, NS","(GMT-04:00) Atlantic Time (Canada)","Canada","Atlantic Standard Time"
"Amiens","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","France","Romance Standard Time"
"Amman","(GMT+03:00) Jordan","Jordan","Jordan Standard Time"
"Amritsar","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Amsterdam","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Netherlands","W. Europe Standard Time"
"Anadyr","(GMT+12:00) Petropavlovsk","Russia","Petropavlovsk Standard Time"
"Anapa","(GMT+04:00) Moscow, St. Petersburg, Volgograd","Russia","Russian Standard Time"
"Anchorage, AK","(GMT-09:00) Alaska","United States","Alaskan Standard Time"
"Ancona","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Italy","W. Europe Standard Time"
"Andorra la Vella","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Andorra","Romance Standard Time"
"Ankara","(GMT+02:00) Turkey","Turkey","Turkey Standard Time"
"Annapolis, MD","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Anshan","(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi","China","China Standard Time"
"Antananarivo","(GMT+03:00) Nairobi","Madagascar","E. Africa Standard Time"
"Antigua","(GMT-06:00) Guatemala","Guatemala","Guatemala Standard Time"
"Antwerp","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Belgium","Romance Standard Time"
"Apia","(GMT-13:00) Samoa","Samoa","Samoa Standard Time"
"Aqaba","(GMT+03:00) Jordan","Jordan","Jordan Standard Time"
"Arad","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Arequipa","(GMT-05:00) Bogota, Lima, Quito","Peru","SA Pacific Standard Time"
"Arica","(GMT-04:00) Chile","Chile","Chile Standard Time"
"Arkhangelsk","(GMT+04:00) Moscow, St. Petersburg, Volgograd","Russia","Russian Standard Time"
"Arklow","(GMT) Dublin, Edinburgh, Lisbon, London","Ireland","GMT Standard Time"
"Armstrong, BC","(GMT-08:00) Pacific Time (US & Canada); Tijuana","Canada","Pacific Standard Time"
"Arraial do Cabo","(GMT-03:00) Brasilia","Brazil","E. South America Standard Time"
"Arzamas","(GMT+04:00) Moscow, St. Petersburg, Volgograd","Russia","Russian Standard Time"
"Ashkelon","(GMT+02:00) Tel Aviv, Jerusalem","Israel","Israel Standard Time"
"Ashkhabad","(GMT+05:00) Tashkent","Turkmenistan","West Asia Standard Time"
"Ashland, OR","(GMT-08:00) Pacific Time (US & Canada); Tijuana","United States","Pacific Standard Time"
"Asmara","(GMT+03:00) Kuwait, Riyadh","Eritrea","Arab Standard Time"
"Astana","(GMT+06:00) Central Asia","Kazakhstan","Central Asia Standard Time"
"Asuncion","(GMT-04:00) Paraguay","Paraguay","Paraguay Standard Time"
"Athens","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Greece","FLE Standard Time"
"Atlanta, GA","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Auckland","(GMT+12:00) Auckland, Wellington","New Zealand","New Zealand Standard Time"
"Augusta, ME","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Aurangabad","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Austin, TX","(GMT-06:00) Central Time (US & Canada)","United States","Central Standard Time"
"Avarua","(GMT-10:00) Hawaii","Cook Islands","Hawaiian Standard Time"
"Aveiro","(GMT) Dublin, Edinburgh, Lisbon, London","Portugal","GMT Standard Time"
"Aylesbury","(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom","GMT Standard Time"
"Az Zarqa","(GMT+03:00) Jordan","Jordan","Jordan Standard Time"
"Bacau","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Romania","FLE Standard Time"
"Bacolod","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Badajoz","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris","Spain","Romance Standard Time"
"Baden-Baden","(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Germany","W. Europe Standard Time"
"Baghdad","(GMT+03:00) Baghdad","Iraq","Arabic Standard Time"
"Bahawalpur","(GMT+05:00) Pakistan","Pakistan","Pakistan Standard Time"
"Bahia Blanca","(GMT-03:00) Argentina","Argentina","Argentina Standard Time"
"Bahia Kino","(GMT-07:00) Arizona","Mexico","US Mountain Standard Time"
"Baku","(GMT+04:00) Baku","Azerbaijan","Baku Standard Time"
"Balabag","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Balanga","(GMT+08:00) Kuala Lumpur, Singapore","Philippines","Singapore Standard Time"
"Balikpapan","(GMT+08:00) Kuala Lumpur, Singapore","Indonesia","Singapore Standard Time"
"Balti","(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius","Moldova","FLE Standard Time"
"Baltimore, MD","(GMT-05:00) Eastern Time (US & Canada)","United States","Eastern Standard Time"
"Bamako","(GMT) Greenwich Mean Time","Mali","Greenwich Standard Time"
"Bandar Seri Begawan","(GMT+08:00) Kuala Lumpur, Singapore","Brunei","Singapore Standard Time"
"Bandarban","(GMT+06:00) Bangladesh","Bangladesh","Bangladesh Standard Time"
"Bandung","(GMT+07:00) Bangkok, Hanoi, Jakarta","Indonesia","SE Asia Standard Time"
"Banff, AB","(GMT-07:00) Mountain Time (US & Canada)","Canada","Mountain Standard Time"
"Bangalore","(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi","India","India Standard Time"
"Bangkok","(GMT+07:00) Bangkok, Hanoi, Jakarta","Thailand","SE Asia Standard Time"
"Bangui","(GMT+01:00) West Central Africa","Central African Republic","W. Central Africa Standard Time"
"Banja Luka","(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb","Bosnia and Herzegovina","Central European Standard Time"
"Banjul","(GMT) Greenwich Mean Time","Gambia","Greenwich Standard Time"
